Class,Gender,Race,MVP,Slots,Tier,Element,Moves,,,Class Description,Special,My reading,Base Stats Growth,,,,,,
,,,,,,,Front,Middle,Back,,,,Hit Points,Strength,Vitality,Intelligence,Mentality,Agility,Dexterity
Mercenary,Male,Human,Yes,1,Base,Any,Slash 2x,Slash 1x,Slash 1x,A sellsword that fights for money,,"Average unit, fights for money.",?,?,?,?,?,?,?
Knight,Male,Human,Yes,1,Base,Any,Slash 2x,Half Guard 2x,Slash 1x,"Knight clad in full armor who fights for pride and honor. His offensive and defensive capabilities are well balanced.""",,Can attack and can cover,5,5,4,3,4,4,3
Berserker,Male,Human,Yes,1,Base,Any,Strike 2x,Strike 1x,Strike 1x,Fearless warrior with extraordinary strength and toughness. He attacks with full might regardless of status.,,"Strong attack, very powerful, but not so accurate, weak defense",5,5,5,3,4,4,5
Phalanx,Male,Human,Yes,1,Base,Any,Pierce 2x,Full Guard 2x,Pierce 1x,Heavy infantryman equipped with spear and a large round shield. This class plays a pivotal role in defense.,,"Weak Attack, Very strong Defense, slow",5,4,5,3,4,3,3
Ninja,Male,Human,Yes,1,Base,Any,Rend 2x,Rend 1x,Rend 1x,Martial artist with great agility who wields a set of claws and eliminates all who stand in his way.,,"Not so Strong attack, but agile and has higher dodge rate",4,5,3,4,4,6,4
Wizard,Male,Human,Yes,1,Base,Any,Basic Magic 1x,Basic Magic 1x,Basic Magic 2x,Male spellcaster who devotes himself on uncovering the mysteries of magic.,Uses Basic Magic in all rows.,"Weak physically, strong magical sniper",3,3,3,6,4,3,3
Beast Tamer,Male,Human,Yes,1,Base,Any,Lash 2x,Lash 2x,Lash 1x,"With whip in hand, the Beast Tamer commands beasts, and brings out their full potential.",Makes Beasts stronger,"Average attack and defense, raises power of bests in the team",5,5,4,3,3,4,4
Doll Master,Male,Human,Yes,1,Base,Any,Pull strings 2x,Pull strings 2x,Pull strings 1x,This class uses a doll as a weapon and commands Golems.,Makes Golem Stronger,"Average attack and defense, raises power of golems in the team",4,4,4,5,4,4,5
Fencer,Male,Human,Yes,1,Base,Any,Slash 2x,Slash 1x,Slash 1x,Experienced Swordsman who's distinct style allows to move swiftly and wield a greatsword with ease.,,"Strong attack, strong accuracy, weak defense",5,5,4,3,4,5,5
Archer,Female,Human,Yes,1,Base,Any,Shoot 1x,Shoot 2x,Shoot 2x,"Though using the same weapons, the Archers skill easily surpasses that of the Amazon.",,"Weak physically, strong physical sniper",4,4,4,3,4,4,5
Dragon Tamer,Female,Human,Yes,1,Base,Any,Thrust 2x,Thrust 1x,Thrust 1x,"With her thrusting sword, the Dragon Tamer commands huge dragons, and brings out their full potential.",Makes Dragons stronger,"Average attack and defense, raises power of dragons in the team",5,5,5,4,4,3,4
