Class,Gender,Race,MVP,Slots,Tier,Element,Moves,,,Class Description,Special,OB 64 specifics,Base Stats Growth,,,,,,
,,,,,,,Front,Middle,Back,,,,Hit Points,Strength,Vitality,Intelligence,Mentality,Agility,Dexterity
Knight,Male,Human,Yes,1,Base,Any,Slash 2x,Slash 1x,Slash 1x,"Knight clad in full armor who fights for pride and honor. His offensive and defensive capabilities are well balanced.""",,,5,5,4,3,4,4,3
Paladin,Male,Human,No,1,Advanced,Any,Slash 3x,Slash 2x,Slash 2x,"Attaining knighthood, he has the ability to draw magical power out of his sword.","Paladin can cast magical spells when in back row when equipping magical swords 2x (healing, fireball, etc)",,6,6,5,4,5,4,4
Berserker,Male,Human,Yes,1,Base,Any,Strike 2x,Strike 1x,Strike 1x,Fearless warrior with extraordinary strength and toughness. He attacks with full might regardless of status.,,,5,5,5,3,4,4,5
Black Knight,Male,Human,No,1,Advanced,Any,Cleave 2x,Cleave 2x,Weapon magic 2x,Knight clad in pitch black armor that strikes fear in his enemies. He has the ability to draw magical power out of his weapon.,Basic Weapon Magic in back row.,,6,7,6,5,5,4,4
Phalanx,Male,Human,Yes,1,Base,Any,Pierce 2x,Pierce 1x,Pierce 1x,Heavy infantryman equipped with spear and a large round shield. This class plays a pivotal role in defense.,,,5,4,5,3,4,3,3
Cataphract,Male,Human,No,1,Advanced,Any,Pierce 2x,Pierce 2x,Pierce 2x,Heavy infantryman protected with full body armor and an enormous shield. His impenetrable defense more than makes up for his lack of speed.,,,6,5,7,3,4,3,4
Ninja,Male,Human,Yes,1,Base,Any,Rend 2x,Rend 1x,Rend 1x,Martial artist with great agility who wields a set of claws and eliminates all who stand in his way.,,,4,5,3,4,4,6,4
Ninja Master,Male,Human,No,1,Advanced,Any,Rend 3x,Rend 2x,Ninja Art 2x,"Head of the Ninjas, he has gained the ability to wield a special form of magic called ninjutsu.",The Ninja Master uses Advanced Magic in back row. Magic used is determined by target's element weakness.,,5,4,4,5,4,6,5
Wizard,Male,Human,Yes,1,Base,Any,Basic Magic 1x,Basic Magic 1x,Basic Elemental Magic 2x,Male spellcaster who devotes himself on uncovering the mysteries of magic.,Uses Basic Magic in all rows.,,3,3,3,6,4,3,3
Archmage,Male,Human,No,1,Advanced,Any,Advanced Magic 1x,Advanced Magic 2x,Advanced Magic 1x,"One who stands above wizards. With his vast arcane knowledge, he is able to cast area effect spells.",The Archmage uses Basic Magic in all front and middle rows and Advanced Magic in back.,,4,3,3,7,5,3,3
Beast Tamer,Male,Human,Yes,1,Base,Any,Lash 2x,Lash 2x,Lash 1x,"With whip in hand, the Beast Tamer commands beasts, and brings out their full potential.",Makes Beasts stronger,,5,5,4,3,3,4,4
Beast Master,Male,Human,No,1,Advanced,Any,Lash 2x,Lash 2x,Lash 2x,The master Beast Tamer who can communicate with beasts and elevate their potential above their limits.,Makes Beasts even stronger,,6,6,6,3,4,4,4
Doll Master,Male,Human,Yes,1,Base,Any,Pull strings 2x,Pull strings 2x,Pull strings 1x,This class uses a doll as a weapon and commands Golems.,Makes Golem Stronger,,4,4,4,5,4,4,5
Enchanter,Male,Human,No,1,Advanced,Any,Pull strings 3x,Pull strings 2x,Pull strings 2x,"Considered the elite Doll Master, this class is capable of breathing life into dolls and Golems.",Makes Golem even Stronger,,5,4,4,5,5,4,5
Fencer,Male,Human,Yes,1,Base,Any,Slash 2x,Slash 1x,Slash 1x,Experienced Swordsman who's distinct style allows to move swiftly and wield a greatsword with ease.,,,5,5,4,3,4,5,5
Sword Master,Male,Human,No,1,Advanced,Any,Slash 3x,Slash 2x,Sonic boom 2x,The master swordsman who strikes are so swift that they create powerful shockwaves.,Sonic Boom in back row.,,5,5,4,4,4,5,7
Dragoon,Male,Human,No,1,Advanced,Any,Slash 3x,Slash 2x,Slash 2x,"Also known as the Dragon Killer, this class is trained to single-handedly vanquish fearsome Dragons.",Stronger agains Dragons. Class can only be upgraded when base male class kills ?? many dragons,,6,5,5,3,4,4,4
Archer,Female,Human,Yes,1,Base,Any,Shoot 1x,Shoot 2x,Shoot 2x,"Though using the same weapons, the Archers skill easily surpasses that of the Amazon.",,,4,4,4,3,4,4,5
Diana,Female,Human,No,1,Advanced,Any,Shoot 1x,Shoot 2x,Shoot 3x,Master of Archery and a specialist in range combat. Her speed and accuracy are incomparable.,,,5,4,4,4,4,5,6
Dragon Tamer,Female,Human,Yes,1,Base,Any,Thrust 2x,Thrust 1x,Thrust 1x,"With her thrusting sword, the Dragon Tamer commands huge dragons, and brings out their full potential.",Makes Dragons stronger,,5,5,5,4,4,3,4
Dragon Master,Female,Human,No,1,Advanced,Any,Thrust 2x,Thrust 2x,Thrust 2x,This title is given to a Dragon Tamer who can elevate their potential above their limits.,Makes Dragons even stronger,,5,5,4,4,4,5,5
Valkyrie,Female,Human,Yes,1,Base,Any,Cleave 2x,Cleave 1x,Lightning 2x,"Warrior maiden of the gods. She attacks gracefully with her  spear, and wields the power of wind.",Uses Lightning in back row.,,4,4,4,4,4,4,4
Freya,Female,Human,No,1,Advanced,Any,Cleave 2x,Cleave 2x,Thunderflare 2x,Warrior Maiden given divine protection from her patron god. She excels in both physical combat and sorcery.,Advanced Weapon Magic used in back rows.,,5,5,4,5,4,5,5
Cleric,Female,Human,Yes,1,Base,Any,Healing 1x,Healing 1x,Healing 2x,"Though forbidden to harm others, the Cleric is able to heal her companions through her faith.""",Uses Healing Magic in all rows.,,4,3,4,5,5,3,3
Priest,Female,Human,No,1,Advanced,Any,Healing Plus 1x,Healing Plus 1x,Healing Plus 2x,High ranking Cleric who's compassionate prayer heals the injured.,The Priest uses Healing Magic Plus in all rows.,,5,3,4,5,6,3,3
Sorceress,Female,Human,Yes,1,Base,Any,Basic Magic 1x,Basic Magic 1x,Basic Magic 2x,"Beautiful female spellcaster who's magical ability is somewhat greater than the Wizards.""",Uses Basic Magic in all rows.,,3,3,3,5,5,3,3
Siren,Female,Human,No,1,Advanced,Any,Advanced Magic 1x,Advanced Magic 2x,Advanced Magic 1x,"Even more powerful and beautiful then the sorceress, the Siren is able to cast area effect spells.",The Siren uses Basic Magic in all front and middle rows and Advanced Magic in back.,,4,3,3,7,5,3,3
Witch,Female,Human,Yes,1,Base,Any,Effect magic 1x,Effect magic 1x,Effect magic 2x,This class specializes in casting supportive spells. The wide brimmed hat is her trademark.,Uses Witch Magic in all rows.,,4,3,3,6,5,4,4
Clay Golem,Genderless,Golem,Yes,2,Base,Any,Smash 3x,Smash 2x,Smash 1x,Giant animate statue made of clay. It is highly resistant to physical damage.,,,5,5,6,3,3,3,4
Stone Golem,Genderless,Golem,Yes,2,Base,Any,Smash 3x,Smash 2x,Smash 1x,Golem made of stone. Its offensive and defensive capabilities surpasses those of normal Golems.,A Clay Golem will change into a Stone Golem when attacked by petrification.,,5,6,6,3,3,3,4
Mithril Golem,Genderless,Golem,Yes,2,Base,Any,Smash 3x,Smash 2x,Smash 1x,"Golem made of magic metal Mithril. It is lighter than a Stone Golem, but is extremely resistant to physical damage.",A Stone Golem will change into a Mithril Golem when attacked by a wind/fire based spell.,,5,6,7,3,4,4,4
Gryphon,Genderless,Monster,Yes,2,Base,Wind,Claw 2x,Claw 1x,Windshot 2x,"A half-lion, half-eagle beast that attacks with powerful gusts of wind.""",The Griffin uses the attack 'Wind Shot' in the back row. ,,4,4,4,3,4,6,4
Opinicus,Genderless,Monster,No,2,Advanced,Wind,Claw 2x,Claw 1x,Windstorm 1x,"Flying beast with characteristics of a lion, an eagle and a bear.",The Opinincus uses the attack 'Wind Storm' in the back row.,,5,5,5,4,4,6,5
Wyrm,Genderless,Monster,Yes,2,Base,Any,Bite 2x,Bite 2x,Bite 1x,"Large flying beast covered with scales, with bat-like wings.",Not considered Dragon. ,,4,5,5,3,3,5,4
Wyvern,Genderless,Monster,No,2,Advanced,Any,Bite 2x,Bite 2x,Fire Breath 2x,"Large flying beast that is more powerful than a Wyrm. It is capable of spewing fire breath.""",Not considered Dragon. The Wyvern uses the attack 'Fire Breath' in the back row.,,5,5,5,3,4,6,4
Hellhound,Genderless,Monster,Yes,2,Base,Any,Bite 3x,Bite 2x,Bite 1x,Two headed canine with sharp fangs and powerful jaws designed to tear its enemy's flesh.,,,4,5,5,4,3,4,3
Cerberus,Genderless,Monster,No,2,Advanced,Any,Bite 3x,Bite 2x,Mesmerize 2x,"Three-headed canine, known as the gatekeeper of hell. Its piercing eyes instill fear in its enemies.",Cerberus uses the attack 'Mesmerize' in the back row.  ,,6,6,5,5,3,4,3
Cockatrice,Genderless,Monster,No,2,Advanced,Any,Peck 2x,Peck 1x,Petrify 2x,Dreaded beast with the body of a rooster and a snake's tail. Its petrifying breath turns opponents to stone.,The Cockatrice uses the attack 'Petrify' in the back row.,,5,5,5,2,3,6,6
Sphinx,Female,Monster,No,2,Advanced,Any,Claw 2x,Evocation 1x,Evocation 2x,"Monster with wings of an eagle, the upper body of a human and lower body of a lion. It has innate knowledge of magic.",The Sphinx uses 'Evocation' in the back row. This attack is similar to Dark Quest.,,4,4,4,6,5,5,5
Young Dragon,Genderless,Dragon,Yes,1,Base,Any,Bite 2x,Bite 1x,Bite 1x,"Even though immature and unable to use its breath weapon, its strength equals that of a full-grown beast.",,,5,4,4,3,4,3,3
Thunder Dragon,Genderless,Dragon,Yes,2,Base,Wind,Bite 2x,Bite 1x,Thunder Breath 1x,Dragon of wind that spews lightning breath.,The Thunder Dragon uses the attack 'Lighting Breath' in the back row.,,6,5,5,3,4,4,5
Quetzalcoatl,Genderless,Divine Dragon,No,2,Advanced,Wind,Lightining Breath 2x,Lightining Breath 2x,Radiant Gale 2x,Venerable dragon of wind. Its Radiant Gale strikes anyone in its path.,"Quetzalcoatl uses the attack 'Radiant Gale' in the back row, which has a chance to stun enemy units, and uses 'Thunder Breath' in front and middle rows.",,7,6,6,4,5,4,5
Red Dragon,Genderless,Dragon,Yes,2,Base,Fire,Bite 2x,Bite 1x,Fire Breath 1x,Dragon of flame that spews fire breath.,The Red Dragon uses the attack 'Fire Breath' in the back row.,,6,6,5,3,4,4,4
Flarebrass,Male,Divine Dragon,No,2,Advanced,Fire,Fire Breath 2x,Fire Breath 2x,Crimson Tide 2x,Venerable dragon of flame. The ferocious blaze of Crimson Note consumes all.,"Flarebrass uses the attack 'Crimson Note' in the back row, which has a chance to power down enemy units, and uses 'Fire Breath' in front and middle rows.",,7,6,6,4,5,4,4
Earth Dragon,Genderless,Dragon,Yes,2,Base,Earth,Bite 2x,Bite 1x,Acid Breath 1x,Dragon of earth that spews acid breath.,The Earth Dragon uses the attack 'Acid Breath' in the back row.,,7,5,6,3,4,3,4
Ahzi Dahaka,Male,Divine Dragon,No,2,Advanced,Earth,Acid Breath 2x,Acid Breath 2x,Earthquake 2x,"Venerable dragon of earth, able to summon violent earthquakes at will.","Ahzi Dahaka uses the attack 'Earthquake' in the back row, which has a chance to power down enemy units, and uses 'Acid Breath' in front and middle rows. Earthquake does not damage flying units.",,8,7,7,4,5,3,4
Blue Dragon,Genderless,Dragon,Yes,2,Base,Water,Bite 2x,Bite 1x,Cold Breath 1x,Dragon of water that spews breath of cold.,The Blue Dragon uses the attack 'Breath of Cold' in the back row.,,6,5,5,3,5,3,5
Hydra,Genderless,Divine Dragon,No,2,Advanced,Water,Breath of Cold 2x,Breath of Cold 2x,Clear Disaster 2x,"Venerable dragon of water, whose Clear Disaster engulfs the foes with biting hoarfrost.","The Hydra uses the attack 'Clear Disaster' in the back row, which has a chance to induce sleep on enemy units, and uses 'Breath of Cold' in front and middle rows.",,7,6,6,5,6,3,5
Platinum Dragon,Genderless,Dragon,Yes,2,Base,Light,Bite 2x,Bite 1x,Sacred Breath 1x,Silver-scaled dragon sanctified by the gods that spews Sacred Breath.,The Platinum Dragon uses the attack 'Sacred Breath' in the back row.,,6,5,6,4,4,3,4
Bahamut,Male,Divine Dragon,No,2,Advanced,Light,Sacred Breath 2x,Sacred Breath 2x,Divine Ray 2x,"Venerable dragon of virtue, said to be descended from legendary Divine Dragon.","The Bahamut uses the attack 'Divine Ray' in the back row, which has a chance to induce sleep on enemy units, and uses 'Sacred Breath' in front and middle rows.",,7,6,7,5,5,3,4
Black Dragon,Genderless,Dragon,Yes,2,Base,Dark,Bite 2x,Bite 1x,Rotten Breath 1x,Black-scaled dragon of darkness that spews Rotten Breath.,The Black Dragon uses the attack 'Rotten Breath' in the back row.,,6,6,5,4,4,3,5
Tiamat,Female,Divine Dragon,No,2,Advanced,Dark,Rotten Breath 2x,Rotten Breath 2x,Gaze of Terror 2x,"Venerable dragon of bane, said to be descended from Rungvie, the god of destruction.","The Bahamut uses the attack 'Evil Dead' in the back row, which has a chance to induce sleep on enemy units, and uses 'Rotten Breath' in front and middle rows.",,7,6,6,5,5,3,5
Hawkman,Male,Demi Human,Yes,1,Base,Any,Strike 2x,Strike 1x,Strike 1x,"Temperamental and aggressive, this class can move without terrain restrictions.""",,,4,4,4,3,3,4,3
Vultan,Male,Demi Human,Yes,1,Base,Any,Strike 2x,Strike 1x,Windshot 2x,"Descended from the ancient clan of noble Hawkmen, once said to have ruled the heavens.",The Vultan uses 'Wind Shot' when in the back rows.,,5,5,4,3,4,6,4
Raven,Male,Demi Human,Yes,1,Base,Dark,Strike 2x,Strike 1x,Thunder Arrow 2x,"Hawkman who fell in the way of darkness. Extremely violent, a Raven finds pleasure drawing blood.",The Raven uses 'Thunder Arrow'' when in the back rows.,,5,5,4,3,4,5,5
Faerie,Female,Demi Human,Yes,1,Base,Light,Throw a kiss 1x,Throw a kiss 1x,Magic Missile 2x,"Cute, tiny being with wings. Is she more than just a mascot?""",This unit uses 'Throw a Kiss' in front and middle row. It will power up friendly units. In the back the Faerie uses 'Magic Missile'.,,3,2,3,4,6,6,5
Gremlin,Male,Demi Human,Yes,1,Base,Dark,Throw a kiss 1x,Throw a kiss 1x,Abyss 2x,"Small creature originating from the netherworld. Despite its ugly looks, it is very amiable.","This unit uses 'Throw a Kiss' in front and middle row. It will power down enemy units. In the back the Gremlin uses 'Abyss', which can cause sleep.",,3,2,3,5,6,6,6
Pumpkinhead,Male/Female,Demi Human,No,1,Advanced,Any,Pumpkin Smash 2x,Pumpkin Smash 1x,Pumpkin Shower 1x,"Homonculus created by Deneb, the beautiful witch. Looks like this one's gone wild. <3","Uses 'Pumpkin Smash' in front and middle rows. If unblocked, attack will halve the enemies health. In back, the Pumpkinhead uses 'Pumpkin Shower'. This attack deals massive damage to the enemy and has recoil damage. ",,4,4,6,2,3,4,2
Zombie (female),Male/Female,Undead,Yes,1,Base,Dark,Bite 2x,Bite 1x,Bite 1x,The living dead that continues to roam the battlefield.,,,4,4,2,2,3,3,3
Zombie (male),Male/Female,Undead,Yes,1,Base,Dark,Bite 2x,Bite 1x,Bite 1x,The living dead that continues to roam the battlefield.,,,5,4,3,2,3,3,3
Skeleton,Male/Female,Undead,Yes,1,Base,Dark,Strike 2x,Strike 1x,Strike 1x,Magically animated human remains. It will reform itself over and over again until released to sleep for eternity.,A Zombie must be attacked with a fire based spell to become a Skeleton.,,4,5,2,2,3,4,4
Ghost,Male/Female,Undead,Yes,1,Base,Dark,Nightmare 1x,Nightmare 1x,Nightmare 2x,"Wandering spirit of the deceased. Since they are non-corporeal, physical attacks do minimal damage",A Skeleton must be attacked with a fire/wind based spell to become a  Ghost.,,3,3,2,5,3,3,3
Vampire,Male,Undead,No,1,Advanced,Dark,Life Drain 2x,Life Drain 2x,Life Drain 2x,"The undead ruler of the night. His power is formidable, but he must stay within his coffin at day.",Uses Life Drain in all rows. During the day vampires return to their coffins and cannot move or attack.,,5,4,4,5,5,4,4
Angel Knight,Male/Female,Undead,No,1,Advanced,Dark,Pierce 2x,Pierce 1x,Banish 2x,Heavenly warrior in shining armor. She eliminates all who go against the will of divine providence.,Angel Knights use a Holy spell called Banish in the middle and back rows.,,4,4,4,3,4,4,5
Goblin,Male/Female,Undead,No,1,Advanced,Dark,Slash 2x,Slash 1x,Slash 1x,"Evil humanoid with horns on its forehead. Told to be the descendant of the Ogres, it has superhuman strength and endurance.",,,5,5,3,2,3,4,2
